user_id;fio;email;address;effective_from_dttm;effective_to_dttm;active_flg;sysdate_dt;sysdate_dttm
25;Комаров Парфен Даниилович;serge_60@example.org;п. Сеймчан, наб. Победы, д. 3/3 к. 7/9, 922748;2023-07-05 04:18:04;2024-01-01 04:18:04;0;2023-07-05;2023-07-05 04:18:04
26;г-н Мельников Милий Эдуардович;lnikolaev@example.net;к. Канск, алл. Новгородская, д. 7/8 к. 1/8, 329624;2024-04-26 21:03:07;2024-10-23 21:03:07;0;2024-04-26;2024-04-26 21:03:07
26;Русакова Анжела Эдуардовна;potapovfedosi@example.net;г. Азов (Рост.), наб. Машиностроителей, д. 43 к. 5, 967990;2023-07-28 09:19:10;9999-12-31 23:59:59;1;2023-07-28;2023-07-28 09:19:10
27;Борисова Анжелика Александровна;terentevgerman@example.com;клх Сальск, ш. Совхозное, д. 714 стр. 5, 309232;2024-09-07 06:50:43;2025-03-06 06:50:43;0;2024-09-07;2024-09-07 06:50:43
28;Нинель Святославовна Иванова;shirjaevrodion@example.net;с. Лабинск, алл. 60 лет СССР, д. 7/6 к. 32, 629350;2024-10-20 13:50:02;2025-04-18 13:50:02;0;2024-10-20;2024-10-20 13:50:02
28;Наина Валентиновна Емельянова;tihonovelizar@example.com;к. Химки, пер. Дружба, д. 80, 034410;2023-10-16 04:25:56;9999-12-31 23:59:59;1;2023-10-16;2023-10-16 04:25:56
29;Третьякова Галина Анатольевна;ereme2005@example.net;г. Бомнак, ул. Линейная, д. 7 стр. 8, 870601;2023-08-22 18:40:04;2024-02-18 18:40:04;0;2023-08-22;2023-08-22 18:40:04
30;Смирнов Эмиль Филиппович;provdementev@example.com;ст. Шамары, наб. Заовражная, д. 2 стр. 2, 821365;2025-04-08 03:43:14;2025-10-05 03:43:14;0;2025-04-08;2025-04-08 03:43:14
30;Анна Антоновна Исакова;fokinanatalja@example.com;г. Самара, ш. Химиков, д. 2, 906761;2024-01-07 05:40:08;9999-12-31 23:59:59;1;2024-01-07;2024-01-07 05:40:08
31;Ольга Романовна Павлова;pavel2012@example.org;г. Боровск, наб. Правды, д. 249 к. 995, 635426;2024-11-14 05:05:45;2025-05-13 05:05:45;0;2024-11-14;2024-11-14 05:05:45
32;г-н Соколов Селиверст Гертрудович;averki1991@example.org;с. Ейск, ул. Азина, д. 8/1 к. 107, 158986;2024-09-23 00:40:38;2025-03-22 00:40:38;0;2024-09-23;2024-09-23 00:40:38
32;Горшкова Любовь Олеговна;melnikovaviktorija@example.org;ст. Лесной (Сверд.), пр. Попова, д. 5 к. 636, 423897;2024-08-07 02:08:28;9999-12-31 23:59:59;1;2024-08-07;2024-08-07 02:08:28
33;Михайлов Моисей Антипович;uljan_2010@example.net;п. Нижний Новгород, бул. Большевистский, д. 7 к. 754, 216154;2023-11-24 12:18:16;2024-05-22 12:18:16;0;2023-11-24;2023-11-24 12:18:16
34;Алина Тимофеевна Цветкова;ekondrateva@example.com;ст. Черкесск, ул. 9 мая, д. 7 к. 923, 942438;2025-02-03 19:37:52;2025-08-02 19:37:52;0;2025-02-03;2025-02-03 19:37:52
34;Тарасов Фортунат Изотович;martinovepifan@example.org;п. Железногорск(Курск.), пер. Крупской, д. 343, 956110;2024-10-29 09:31:00;9999-12-31 23:59:59;1;2024-10-29;2024-10-29 09:31:00
35;Цветкова Вероника Ждановна;epifan_2017@example.org;клх Лабинск, бул. Курганный, д. 574, 225368;2024-11-07 12:20:36;2025-05-06 12:20:36;0;2024-11-07;2024-11-07 12:20:36
36;Кулагин Азарий Венедиктович;rjabovasofija@example.org;ст. Аршан (Бурят.), ул. Ленинская, д. 7/3 стр. 2, 828762;2023-11-19 13:43:49;2024-05-17 13:43:49;0;2023-11-19;2023-11-19 13:43:49
36;Бобылев Гордей Борисович;vlas_63@example.com;д. Лысьва, наб. Минина, д. 504 стр. 19, 631589;2025-01-22 19:08:33;9999-12-31 23:59:59;1;2025-01-22;2025-01-22 19:08:33
37;Красильников Мир Викентьевич;agafon2024@example.org;к. Суздаль, алл. Специалистов, д. 61 стр. 84, 199114;2024-03-18 15:31:46;2024-09-14 15:31:46;0;2024-03-18;2024-03-18 15:31:46
38;Наина Архиповна Симонова;lkalashnikov@example.net;п. Елабуга, пер. Главный, д. 6/1 стр. 43, 186953;2025-02-05 11:09:08;2025-08-04 11:09:08;0;2025-02-05;2025-02-05 11:09:08
38;Клавдия Богдановна Павлова;aleksandr_44@example.net;ст. Новороссийка, ш. Коллективное, д. 3, 523681;2025-01-11 12:18:21;9999-12-31 23:59:59;1;2025-01-11;2025-01-11 12:18:21
39;Белозерова Евгения Павловна;cbikov@example.com;клх Торжок, ш. Боровое, д. 99 к. 1/7, 739322;2024-07-18 13:55:20;2025-01-14 13:55:20;0;2024-07-18;2024-07-18 13:55:20
40;Иванна Харитоновна Калашникова;braginserafim@example.com;г. Усть-Кулом, наб. Сплавная, д. 7, 332213;2024-08-17 08:55:29;2025-02-13 08:55:29;0;2024-08-17;2024-08-17 08:55:29
40;Кудряшов Януарий Егорович;safonovnikandr@example.org;ст. Тында, пер. Дорожный, д. 2/8, 689153;2023-07-15 07:50:06;9999-12-31 23:59:59;1;2023-07-15;2023-07-15 07:50:06
41;Сорокина Жанна Кузьминична;cdoronin@example.org;д. Можга, наб. Дарвина, д. 4/3 стр. 25, 258953;2025-03-28 17:12:50;2025-09-24 17:12:50;0;2025-03-28;2025-03-28 17:12:50
42;Степан Арсеньевич Миронов;alazareva@example.com;д. Геленджик, алл. Р.Люксембург, д. 7 стр. 13, 572293;2024-02-10 18:36:09;2024-08-08 18:36:09;0;2024-02-10;2024-02-10 18:36:09
42;Беляков Симон Харлампович;dmitrievkonon@example.org;д. Верхний Уфалей, бул. Металлистов, д. 11, 584846;2024-10-23 06:03:02;9999-12-31 23:59:59;1;2024-10-23;2024-10-23 06:03:02
43;Емельянов Яков Феофанович;tatjana1990@example.net;ст. Уэлен, ул. Придорожная, д. 2/6 к. 95, 346211;2024-10-18 17:50:53;2025-04-16 17:50:53;0;2024-10-18;2024-10-18 17:50:53
44;Куликова Регина Яковлевна;mishinladimir@example.org;д. Тихвин, пр. Гоголя, д. 59, 442821;2023-09-02 19:16:30;2024-02-29 19:16:30;0;2023-09-02;2023-09-02 19:16:30
44;Лариса Афанасьевна Маркова;muravevnarkis@example.com;к. Назрань, пер. Ленинградский, д. 591 к. 88, 115409;2024-03-01 18:24:39;9999-12-31 23:59:59;1;2024-03-01;2024-03-01 18:24:39
45;Кононов Карп Феликсович;stojanfedotov@example.org;с. Долинск, бул. Кирпичный, д. 124 стр. 11, 043262;2025-01-11 18:44:51;2025-07-10 18:44:51;0;2025-01-11;2025-01-11 18:44:51
46;Сысоев Тимур Измаилович;leonti29@example.net;г. Киров (Вятка), пер. Сплавный, д. 90, 413283;2023-07-20 16:39:05;2024-01-16 16:39:05;0;2023-07-20;2023-07-20 16:39:05
46;Орехов Харитон Власович;arseni2000@example.org;д. Хабаровск, наб. 30 лет Победы, д. 388, 292673;2023-07-23 22:18:04;9999-12-31 23:59:59;1;2023-07-23;2023-07-23 22:18:04
47;Фотий Богданович Михеев;erast2020@example.net;с. Березники, алл. Лазурная, д. 78 стр. 8/8, 603883;2023-05-24 11:26:25;2023-11-20 11:26:25;0;2023-05-24;2023-05-24 11:26:25
48;Эмилия Эдуардовна Баранова;roman_1997@example.net;г. Кировск (Мурм.), пер. Пушкина, д. 8/8, 864537;2024-08-26 00:29:18;2025-02-22 00:29:18;0;2024-08-26;2024-08-26 00:29:18
48;тов. Воронцова Мария Наумовна;sigizmund_43@example.net;с. Мелеуз, бул. Кольцова, д. 1/4 стр. 40, 062263;2024-02-18 16:46:19;9999-12-31 23:59:59;1;2024-02-18;2024-02-18 16:46:19
49;Зинаида Сергеевна Алексеева;vera04@example.org;клх Городовиковск, бул. Попова, д. 6 стр. 15, 073426;2024-10-03 12:59:52;2025-04-01 12:59:52;0;2024-10-03;2024-10-03 12:59:52
50;Нинель Валентиновна Коновалова;sofron_01@example.com;д. Магнитогорск, бул. Магистральный, д. 84 к. 3/3, 961204;2025-03-28 12:41:38;2025-09-24 12:41:38;0;2025-03-28;2025-03-28 12:41:38
50;Добромысл Ерофеевич Андреев;romanovairaida@example.com;ст. Смоленск, пер. Крымский, д. 5/2, 415112;2024-09-28 02:33:16;9999-12-31 23:59:59;1;2024-09-28;2024-09-28 02:33:16
51;Лидия Леоновна Харитонова;martin_2003@example.com;к. Люберцы, ш. Лунное, д. 6 стр. 7/3, 380188;2024-11-26 18:22:36;2025-05-25 18:22:36;0;2024-11-26;2024-11-26 18:22:36
52;Харитонов Сергей Гавриилович;demid_64@example.org;клх Бузулук, бул. Лунный, д. 65 стр. 3/3, 118635;2025-03-01 22:28:31;2025-08-28 22:28:31;0;2025-03-01;2025-03-01 22:28:31
52;Дмитриева Лидия Романовна;arhip1995@example.com;ст. Токсово, ул. Рябиновая, д. 10 стр. 165, 100435;2024-01-26 13:11:35;9999-12-31 23:59:59;1;2024-01-26;2024-01-26 13:11:35
53;Куликова Эмилия Афанасьевна;ferapont2002@example.com;г. Александров Гай, ш. Высотное, д. 120, 092631;2024-01-07 12:31:48;2024-07-05 12:31:48;0;2024-01-07;2024-01-07 12:31:48
54;Богданова Виктория Юрьевна;viktor44@example.com;д. Юровск, алл. Юбилейная, д. 7/2, 258817;2023-10-08 18:46:04;2024-04-05 18:46:04;0;2023-10-08;2023-10-08 18:46:04
54;Савва Тарасович Лаврентьев;bsoloveva@example.com;к. Орел, бул. Баумана, д. 93 стр. 6/5, 952573;2024-02-14 09:19:53;9999-12-31 23:59:59;1;2024-02-14;2024-02-14 09:19:53
55;Белоусова Татьяна Рубеновна;lukjankonstantinov@example.com;п. Александровск-Сахалинский, наб. Главная, д. 739, 932601;2023-11-04 17:43:59;2024-05-02 17:43:59;0;2023-11-04;2023-11-04 17:43:59
56;Фадеев Панфил Эдуардович;belousovaakulina@example.org;д. Чусовой, ул. Поперечная, д. 6/2, 403001;2024-02-13 06:39:49;2024-08-11 06:39:49;0;2024-02-13;2024-02-13 06:39:49
56;Мария Юльевна Тетерина;avgust_25@example.org;клх Усть-Камчатск, ул. Березовая, д. 1, 762091;2023-09-25 15:42:05;9999-12-31 23:59:59;1;2023-09-25;2023-09-25 15:42:05
57;Гущин Георгий Геннадиевич;jeliseeva@example.net;клх Дербент, бул. Попова, д. 26 к. 6/2, 645260;2025-01-16 10:10:00;2025-07-15 10:10:00;0;2025-01-16;2025-01-16 10:10:00
58;Куликов Сидор Филиппович;denis56@example.com;д. Мыс Шмидта, ул. Красноярская, д. 855, 920990;2023-08-07 19:33:16;2024-02-03 19:33:16;0;2023-08-07;2023-08-07 19:33:16
58;Федоров Христофор Демидович;bsmirnov@example.org;с. Рубцовск, пер. Казачий, д. 9 стр. 4, 127429;2024-04-13 02:06:24;9999-12-31 23:59:59;1;2024-04-13;2024-04-13 02:06:24
59;Анисимова Евгения Феликсовна;dementevljubomir@example.net;ст. Чита, бул. Калужский, д. 139, 467597;2023-10-12 12:33:39;2024-04-09 12:33:39;0;2023-10-12;2023-10-12 12:33:39
60;Ираклий Глебович Шубин;nvolkova@example.com;д. Бавлы, ш. Театральное, д. 9, 690752;2024-12-14 22:35:38;2025-06-12 22:35:38;0;2024-12-14;2024-12-14 22:35:38
60;Степанов Эрнест Эдгардович;mirguljaev@example.org;с. Советский, ш. Крылова, д. 6/3 стр. 12, 780339;2024-12-25 05:04:36;9999-12-31 23:59:59;1;2024-12-25;2024-12-25 05:04:36
61;Дьячков Андроник Давидович;alla_20@example.net;д. Мокшан, наб. Солнечная, д. 970 к. 4, 658827;2024-09-16 13:34:49;2025-03-15 13:34:49;0;2024-09-16;2024-09-16 13:34:49
62;Оксана Ждановна Евсеева;akimermakov@example.com;д. Москва, ш. Брянское, д. 8 стр. 3/4, 971384;2024-07-23 01:39:57;2025-01-19 01:39:57;0;2024-07-23;2024-07-23 01:39:57
62;Карп Ааронович Зуев;semenovmoke@example.com;с. Пинега, ул. Чкалова, д. 35 к. 47, 701843;2023-08-18 15:41:45;9999-12-31 23:59:59;1;2023-08-18;2023-08-18 15:41:45
63;Цветков Агафон Брониславович;kkonstantinov@example.net;д. Калачинск, ш. Овражное, д. 5/1, 965728;2025-03-02 21:34:43;2025-08-29 21:34:43;0;2025-03-02;2025-03-02 21:34:43
64;Жанна Феликсовна Воронова;nazarovjulian@example.com;к. Мончегорск, ш. 1 Мая, д. 59, 288916;2023-10-08 07:07:50;2024-04-05 07:07:50;0;2023-10-08;2023-10-08 07:07:50
64;Савельев Глеб Аверьянович;efremovborislav@example.net;ст. Якша, пер. Крымский, д. 20 к. 8/3, 344878;2023-11-12 06:48:47;9999-12-31 23:59:59;1;2023-11-12;2023-11-12 06:48:47
65;Амвросий Измаилович Павлов;modest44@example.net;г. Комсомольск-на-Амуре, алл. Чапаева, д. 20 стр. 6/6, 864674;2023-07-31 17:51:16;2024-01-27 17:51:16;0;2023-07-31;2023-07-31 17:51:16
66;Кузнецова Елена Оскаровна;evlampi87@example.net;к. Гремячинск (Перм.), ул. Чернышевского, д. 8/2 к. 4, 418935;2024-06-02 07:17:12;2024-11-29 07:17:12;0;2024-06-02;2024-06-02 07:17:12
66;г-жа Терентьева Ульяна Аскольдовна;bolshakovevstafi@example.org;клх Талдом, наб. Весенняя, д. 624 к. 1, 839525;2024-01-12 04:17:56;9999-12-31 23:59:59;1;2024-01-12;2024-01-12 04:17:56
67;Герасимова Полина Аскольдовна;isakovmiroslav@example.com;с. Печора, бул. Ростовский, д. 601, 542903;2025-02-23 02:56:36;2025-08-22 02:56:36;0;2025-02-23;2025-02-23 02:56:36
68;Андрон Захарьевич Исаев;pimen1989@example.org;ст. Черкесск, ш. Литейное, д. 69, 683880;2023-07-01 10:03:59;2023-12-28 10:03:59;0;2023-07-01;2023-07-01 10:03:59
68;Молчанов Демид Феофанович;bobrovamaja@example.org;клх Бузулук, пер. Февральский, д. 98, 904183;2024-11-13 15:55:39;9999-12-31 23:59:59;1;2024-11-13;2024-11-13 15:55:39
69;Семенов Виталий Валерьевич;arkadi_86@example.net;г. Моздок, ш. Металлистов, д. 4/3, 129346;2023-10-05 21:20:58;2024-04-02 21:20:58;0;2023-10-05;2023-10-05 21:20:58
70;Флорентин Фролович Матвеев;bogdanovmilan@example.com;г. Кизилюрт, алл. Тракторная, д. 1/8, 688443;2023-09-17 07:56:57;2024-03-15 07:56:57;0;2023-09-17;2023-09-17 07:56:57
70;Анастасия Андреевна Прохорова;karp_1993@example.com;клх Томари, наб. Тимирязева, д. 4/4 стр. 4, 160713;2023-12-06 16:15:42;9999-12-31 23:59:59;1;2023-12-06;2023-12-06 16:15:42
71;Леон Иосипович Брагин;arkadi91@example.com;п. Углегорск, ш. Маркса Карла, д. 6 стр. 95, 555486;2023-06-16 23:21:09;2023-12-13 23:21:09;0;2023-06-16;2023-06-16 23:21:09
72;Ермаков Борис Давыдович;nikifor_49@example.net;п. Уэлен, пер. Молодежный, д. 35 к. 19, 178962;2024-12-29 23:36:57;2025-06-27 23:36:57;0;2024-12-29;2024-12-29 23:36:57
72;Иванна Михайловна Капустина;vinogradovaregina@example.net;к. Октябрьское (Челяб.), пер. Коллективный, д. 523, 836908;2024-10-15 06:23:16;9999-12-31 23:59:59;1;2024-10-15;2024-10-15 06:23:16
73;Евгений Алексеевич Кабанов;innokenti25@example.org;ст. Россошь, алл. Терешковой, д. 1 стр. 3, 762791;2023-05-28 21:57:00;2023-11-24 21:57:00;0;2023-05-28;2023-05-28 21:57:00
74;Меркушева Марина Анатольевна;konovalovmina@example.net;к. Гудермес, бул. Воровского, д. 5 к. 8, 556052;2023-11-17 10:54:56;2024-05-15 10:54:56;0;2023-11-17;2023-11-17 10:54:56
74;Гордеев Панкрат Фролович;fominandronik@example.com;к. Томпа, бул. Ореховый, д. 62 стр. 98, 194167;2024-07-10 13:52:16;9999-12-31 23:59:59;1;2024-07-10;2024-07-10 13:52:16
75;Агафья Ильинична Афанасьева;pestovmina@example.org;д. Семлячики, наб. Дорожная, д. 11, 744287;2024-12-14 02:40:06;2025-06-12 02:40:06;0;2024-12-14;2024-12-14 02:40:06
76;Порфирий Ануфриевич Голубев;lihachevguri@example.com;п. Зеленоград, алл. Красногвардейская, д. 336, 919134;2023-05-20 10:27:18;2023-11-16 10:27:18;0;2023-05-20;2023-05-20 10:27:18
76;Полина Ивановна Савина;mili_1977@example.org;п. Ангарск, пер. Фестивальный, д. 221 стр. 5, 092739;2024-11-18 11:15:30;9999-12-31 23:59:59;1;2024-11-18;2024-11-18 11:15:30
77;Калинин Влас Алексеевич;gostomisl_1988@example.net;г. Семлячики, наб. Приморская, д. 427 стр. 908, 889695;2024-11-23 01:17:45;2025-05-22 01:17:45;0;2024-11-23;2024-11-23 01:17:45
78;Кир Еремеевич Лазарев;visheslavshilov@example.com;п. Юрьевец (Иван.), ш. Рябиновое, д. 52, 494222;2023-04-20 19:32:34;2023-10-17 19:32:34;0;2023-04-20;2023-04-20 19:32:34
78;Серафим Ефимьевич Логинов;longin2003@example.org;к. Озеры, ш. Запрудное, д. 844 к. 7/3, 277448;2023-08-27 05:37:35;9999-12-31 23:59:59;1;2023-08-27;2023-08-27 05:37:35
79;Исаков Фома Власович;pimen44@example.net;с. Тура, пер. Прудный, д. 42 к. 9/8, 727135;2024-02-22 10:44:18;2024-08-20 10:44:18;0;2024-02-22;2024-02-22 10:44:18
80;Муравьева Оксана Борисовна;fortunat_77@example.net;ст. Яхрома, ул. Каштановая, д. 2, 246377;2025-03-26 09:54:20;2025-09-22 09:54:20;0;2025-03-26;2025-03-26 09:54:20
80;Иванна Кузьминична Горбачева;evsegurev@example.net;д. Наро-Фоминск, ш. Свободы, д. 862, 764550;2024-06-15 09:07:48;9999-12-31 23:59:59;1;2024-06-15;2024-06-15 09:07:48
81;Зуева Марина Эдуардовна;molchanovjan@example.org;ст. Боровск, наб. Новгородская, д. 2 стр. 2/1, 594865;2024-10-13 14:57:49;2025-04-11 14:57:49;0;2024-10-13;2024-10-13 14:57:49
82;Святополк Фадеевич Дементьев;sokolovamvrosi@example.net;п. Чайковский, наб. Выгонная, д. 70 к. 7, 261012;2024-02-04 08:52:09;2024-08-02 08:52:09;0;2024-02-04;2024-02-04 08:52:09
82;Галина Андреевна Ефремова;shestakovairina@example.com;д. Омск, алл. Донская, д. 211 стр. 789, 935493;2023-11-20 14:36:51;9999-12-31 23:59:59;1;2023-11-20;2023-11-20 14:36:51
83;Молчанов Мокей Ефимьевич;ernstsolovev@example.org;п. Златоуст, алл. Братская, д. 8/8 стр. 999, 467850;2024-12-31 01:59:47;2025-06-29 01:59:47;0;2024-12-31;2024-12-31 01:59:47
84;Петров Алексей Тихонович;feofan_2003@example.org;п. Гремячинск (Бурят.), ш. Снежное, д. 449, 364988;2023-08-06 06:19:04;2024-02-02 06:19:04;0;2023-08-06;2023-08-06 06:19:04
84;Воронцов Игнатий Фёдорович;selivan_2001@example.net;с. Кунгур, алл. Ангарская, д. 1, 528519;2023-08-17 17:35:45;9999-12-31 23:59:59;1;2023-08-17;2023-08-17 17:35:45
85;тов. Устинов Святополк Трифонович;nikandr2012@example.org;ст. Москва, МГУ, наб. Мелиораторов, д. 3/2 к. 914, 957664;2023-09-18 02:23:46;2024-03-16 02:23:46;0;2023-09-18;2023-09-18 02:23:46
86;Степанов Ладислав Алексеевич;sharovizot@example.org;д. Дудинка, алл. Загородная, д. 29 стр. 2/9, 349180;2023-11-20 16:12:09;2024-05-18 16:12:09;0;2023-11-20;2023-11-20 16:12:09
86;Лариса Вячеславовна Сергеева;lazar_2020@example.net;к. Джубга, пер. Ломоносова, д. 139 к. 4/8, 380769;2025-03-06 16:06:53;9999-12-31 23:59:59;1;2025-03-06;2025-03-06 16:06:53
87;Носова Фаина Егоровна;tit60@example.net;с. Долинск, бул. Строителей, д. 2/9 стр. 81, 746245;2023-10-14 07:53:18;2024-04-11 07:53:18;0;2023-10-14;2023-10-14 07:53:18
